,Status,Premiered,Rating,Duration,Demographic,Episodes,Aired,Producers,German,Genre,English,Licensors,Members,Studios,Ranked,Spanish,Theme,Score,Source,Synonyms,Type,Broadcast,Popularity,Favorites,Genres,Japanese
0,['  Finished Airing  '],['Fall 2023'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],[],['  28  '],"['  Sep 29, 2023 to Mar 22, 2024  ']","['Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Nippon Television Network,       TOHO animation,       Shogakukan ']",[],"['AdventureAdventure,         DramaDrama,         FantasyFantasy ']","["" Frieren: Beyond Journey's End      ""]","['    None found, add some ']","['    723,522']",['Madhouse '],"[""  #122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],[],"['9.371 (scored by 385233385,233 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Frieren at the Funeral  '],['TV'],['    Fridays at 23:00 (JST)      '],['  #278'],"['  40,398']",['  28  '],"['  Sep 29, 2023 to Mar 22, 2024  ']"
1,['  Finished Airing  '],['Spring 2009'],['  R - 17+ (violence & profanity)  '],['  24 min. per ep.  '],[],['  64  '],"['  Apr 5, 2009 to Jul 4, 2010  ']","['Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken ']",[],"['ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy ']",[' Fullmetal Alchemist: Brotherhood      '],"['Funimation,       Aniplex of America ']","['    3,345,575']",['Bones '],"[""  #222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['MilitaryMilitary '],"['9.091 (scored by 21206522,120,652 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB  ']",['TV'],"['    Sundays at 17:00 (JST)      ', 'Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken ']",['  #3'],"['  225,989']",['  64  '],"['  Apr 5, 2009 to Jul 4, 2010  ']"
2,['  Finished Airing  '],['Spring 2011'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['PsychologicalPsychological,         Time TravelTime Travel ']",['  24  '],"['  Apr 6, 2011 to Sep 14, 2011  ']","['Frontier Works,       Media Factory,       Kadokawa Shoten,       Movic,       AT-X,       Kadokawa Pictures Japan,       Nitroplus ']",[],"['DramaDrama,         Sci-FiSci-Fi,         SuspenseSuspense ']",[' Steins;Gate      '],['Funimation '],"['    2,563,963']",['White Fox '],"[""  #322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['PsychologicalPsychological,         Time TravelTime Travel ']","['9.071 (scored by 14000291,400,029 users)      1          indicates a weighted score.    ']",['  Visual novel  '],[],['TV'],['    Wednesdays at 02:05 (JST)      '],['  #13'],"['  189,624']",['  24  '],"['  Apr 6, 2011 to Sep 14, 2011  ']"
3,['  Finished Airing  '],['Spring 2015'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  51  '],"['  Apr 8, 2015 to Mar 30, 2016  ']","['TV Tokyo,       Aniplex,       Dentsu ']",[' Gintama Season 4    '],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama Season 4      '],"['Funimation,       Crunchyroll ']","['    631,000']",['Bandai Namco Pictures '],"[""  #422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Gintama Temporada 4    '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['9.061 (scored by 251298251,298 users)      1          indicates a weighted score.    ']",['  Manga  '],"["" Gintama' (2015)  ""]",['TV'],['    Wednesdays at 18:00 (JST)      '],['  #343'],"['  16,647']",['  51  '],"['  Apr 8, 2015 to Mar 30, 2016  ']"
4,['  Finished Airing  '],['Spring 2019'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']",['  10  '],"['  Apr 29, 2019 to Jul 1, 2019  ']","['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises ']",[' Attack on Titan Staffel 3 Teil 2    '],"['ActionAction,         DramaDrama,         SuspenseSuspense ']",[' Attack on Titan Season 3 Part 2      '],['Funimation '],"['    2,276,676']",['Wit Studio '],"[""  #522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Ataque a los Titanes Temporada 3 Parte 2    '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']","['9.051 (scored by 15872311,587,231 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],"['    Mondays at 00:10 (JST)      ', 'Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises ']",['  #21'],"['  58,603']",['  10  '],"['  Apr 29, 2019 to Jul 1, 2019  ']"
5,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  1 hr. 44 min.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  1  '],"['  Jan 8, 2021  ']","['TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha ']",[' N/A    '],"['ActionAction,         ComedyComedy,         DramaDrama,         Sci-FiSci-Fi ']",[' Gintama: The Very Final      '],['Eleven Arts '],"['    150,530']",['Bandai Namco Pictures '],"[""  #622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['9.041 (scored by 7216872,168 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['Movie'],[],['  #1531'],"['  4,276']",['  1  '],"['  Jan 8, 2021  ']"
6,['  Finished Airing  '],['Fall 2011'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],[],['  148  '],"['  Oct 2, 2011 to Sep 24, 2014  ']","['VAP,       Nippon Television Network,       Shueisha ']",[' Hunter x Hunter    '],"['ActionAction,         AdventureAdventure,         FantasyFantasy ']",[' Hunter x Hunter      '],['VIZ Media '],"['    2,832,203']",['Madhouse '],"[""  #722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Hunter x Hunter    '],[],"['9.041 (scored by 17622411,762,241 users)      1          indicates a weighted score.    ']",['  Manga  '],[' HxH (2011)  '],['TV'],['    Sundays at 10:55 (JST)      '],['  #9'],"['  210,402']",['  148  '],"['  Oct 2, 2011 to Sep 24, 2014  ']"
7,['  Finished Airing  '],['Spring 2011'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  51  '],"['  Apr 4, 2011 to Mar 26, 2012  ']","['TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Miracle Robo,       Studio Jack,       Shueisha ']",[' Gintama Staffel 2    '],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama Season 2      '],"['    None found, add some ']","['    556,490']",['Sunrise '],"[""  #822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Gintama Temporada 2    '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['9.031 (scored by 237546237,546 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Gintama (2011)  '],['TV'],['    Mondays at 18:00 (JST)      '],['  #393'],"['  8,161']",['  51  '],"['  Apr 4, 2011 to Mar 26, 2012  ']"
8,['  Finished Airing  '],['Fall 2022'],['  R - 17+ (violence & profanity)  '],['  24 min. per ep.  '],[],['  13  '],"['  Oct 11, 2022 to Dec 27, 2022  ']","['TV Tokyo,       Aniplex,       Dentsu,       Shueisha ']",[],"['ActionAction,         AdventureAdventure,         FantasyFantasy ']",[' Bleach: Thousand-Year Blood War      '],['VIZ Media '],"['    540,852']",['Pierrot '],"[""  #922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],[],"['9.021 (scored by 280063280,063 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Bleach: Thousand-Year Blood War Arc  '],['TV'],['    Tuesdays at 00:00 (JST)      '],['  #409'],"['  20,460']",['  13  '],"['  Oct 11, 2022 to Dec 27, 2022  ']"
9,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  26 min. per ep.  '],"['Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace ']",['  110  '],"['  Jan 8, 1988 to Mar 17, 1997  ']","['TV Tokyo,       Kitty Films,       Tokuma Shoten,       Tokuma Japan Communications,       Wright Staff ']",[],"['DramaDrama,         Sci-FiSci-Fi ']",[' Legend of the Galactic Heroes      '],['Sentai Filmworks '],"['    322,280']","['K-Factory,       Kitty Film Mitaka Studio ']","[""  #1022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace ']","['9.021 (scored by 7928279,282 users)      1          indicates a weighted score.    ']",['  Novel  '],"["" LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel  ""]",['OVA'],[],['  #745'],"['  16,332']",['  110  '],"['  Jan 8, 1988 to Mar 17, 1997  ']"
10,['  Finished Airing  '],['Fall 2012'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  13  '],"['  Oct 4, 2012 to Mar 28, 2013  ']","['TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Miracle Bus ']",[],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama: Enchousen      '],"['    None found, add some ']","['    325,552']",['Sunrise '],"[""  #1122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['9.021 (scored by 165484165,484 users)      1          indicates a weighted score.    ']",['  Manga  '],"["" Gintama' (2012), Gintama' Overdrive, Kintama  ""]",['TV'],['    Thursdays at 18:00 (JST)      '],['  #738'],"['  3,055']",['  13  '],"['  Oct 4, 2012 to Mar 28, 2013  ']"
11,['  Finished Airing  '],['Spring 2022'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],[],['  13  '],"['  Apr 9, 2022 to Jun 25, 2022  ']","['Aniplex,       Mainichi Broadcasting System,       Magic Capsule,       Shueisha,       JR East Marketing & Communications ']",[],"['ComedyComedy,         RomanceRomance ']",[' Kaguya-sama: Love is War - Ultra Romantic      '],['Aniplex of America '],"['    928,795']",['A-1 Pictures '],"[""  #1222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['SchoolSchool '],"['9.011 (scored by 523818523,818 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season  ']",['TV'],"['    Saturdays at 00:00 (JST)      ', 'Aniplex,       Mainichi Broadcasting System,       Magic Capsule,       Shueisha,       JR East Marketing & Communications ']",['  #178'],"['  31,164']",['  13  '],"['  Apr 9, 2022 to Jun 25, 2022  ']"
12,['  Finished Airing  '],['Spring 2021'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],[],['  13  '],"['  Apr 6, 2021 to Jun 29, 2021  ']","['TV Tokyo,       TV Osaka,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       TMS Music,       8PAN ']",[' Fruits Basket Staffel 3    '],"['DramaDrama,         RomanceRomance,         SupernaturalSupernatural ']",[' Fruits Basket: The Final Season      '],['Funimation '],"['    478,203']",['TMS Entertainment '],"[""  #1322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Fruits Basket: The Final Season    '],[],"['8.981 (scored by 236902236,902 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba  ']",['TV'],['    Tuesdays at 01:30 (JST)      '],['  #473'],"['  20,036']",['  13  '],"['  Apr 6, 2021 to Jun 29, 2021  ']"
13,['  Finished Airing  '],['Winter 2017'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  12  '],"['  Jan 9, 2017 to Mar 27, 2017  ']","['TV Tokyo,       Aniplex,       Dentsu,       Shueisha ']",[],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama Season 5      '],"['    None found, add some ']","['    314,895']",['Bandai Namco Pictures '],"[""  #1422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['8.981 (scored by 146146146,146 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Gintama (2017)  '],['TV'],['    Mondays at 01:35 (JST)      '],['  #761'],"['  2,730']",['  12  '],"['  Jan 9, 2017 to Mar 27, 2017  ']"
14,['  Finished Airing  '],['Spring 2006'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  201  '],"['  Apr 4, 2006 to Mar 25, 2010  ']","['TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Audio Highs,       Miracle Robo,       Shueisha ']",[],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama      '],"['Sentai Filmworks,       Crunchyroll ']","['    1,065,588']",['Sunrise '],"[""  #1522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['8.941 (scored by 396487396,487 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Gin Tama, Silver Soul, Yorinuki Gintama-san  ']",['TV'],['    Thursdays at 18:00 (JST)      '],['  #140'],"['  59,434']",['  201  '],"['  Apr 4, 2006 to Mar 25, 2010  ']"
15,['  Finished Airing  '],['Fall 2008'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],[],['  24  '],"['  Oct 3, 2008 to Mar 27, 2009  ']","['Pony Canyon,       TBS,       Rakuonsha,       Animation Do ']",[' Clannad ~After Story~    '],"['DramaDrama,         RomanceRomance,         SupernaturalSupernatural ']",[' Clannad: After Story      '],['Sentai Filmworks '],"['    1,194,122']",['Kyoto Animation '],"[""  #1622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Clannad ~After Story~    '],[],"['8.931 (scored by 660376660,376 users)      1          indicates a weighted score.    ']",['  Visual novel  '],[],['TV'],['    Fridays at 01:59 (JST)      '],['  #118'],"['  70,386']",['  24  '],"['  Oct 3, 2008 to Mar 27, 2009  ']"
16,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  2 hr. 10 min.  '],[],['  1  '],"['  Sep 17, 2016  ']","['Shochiku,       Pony Canyon,       Kodansha,       ABC Animation,       Quaras ']",[' A Silent Voice    '],"['Award WinningAward Winning,         DramaDrama ']",[' A Silent Voice      '],"['Eleven Arts,       NYAV Post ']","['    2,330,548']",['Kyoto Animation '],"[""  #1722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Una Voz Silenciosa    '],['Romantic SubtextRomantic Subtext '],"['8.931 (scored by 16148751,614,875 users)      1          indicates a weighted score.    ']",['  Manga  '],[' The Shape of Voice  '],['Movie'],[],['  #20'],"['  87,798']",['  1  '],"['  Sep 17, 2016  ']"
17,['  Finished Airing  '],['Fall 2023'],['  PG-13 - Teens 13 or older  '],['  22 min. per ep.  '],"['HistoricalHistorical,         MedicalMedical ']",['  24  '],"['  Oct 22, 2023 to Mar 24, 2024  ']","['Dentsu,       Square Enix,       Nippon Television Network,       TOHO animation,       Shogakukan,       Imagica Infos ']",[],"['DramaDrama,         MysteryMystery ']",[' The Apothecary Diaries      '],"['    None found, add some ']","['    389,831']","['OLM,       TOHO animation STUDIO ']","[""  #1822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['HistoricalHistorical,         MedicalMedical ']","['8.921 (scored by 184062184,062 users)      1          indicates a weighted score.    ']",['  Light novel  '],"["" The Pharmacist's Monologue, Drugstore Soliloquy  ""]",['TV'],['    Sundays at 01:05 (JST)      '],['  #596'],"['  10,026']",['  24  '],"['  Oct 22, 2023 to Mar 24, 2024  ']"
18,['  Finished Airing  '],['Fall 2017'],['  PG-13 - Teens 13 or older  '],['  25 min. per ep.  '],"['ChildcareChildcare,         Strategy GameStrategy Game ']",['  22  '],"['  Oct 14, 2017 to Mar 31, 2018  ']","[""Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory ""]",[' March Come in Like a Lion Staffel 2    '],['DramaDrama '],[' March Comes In Like a Lion 2nd Season      '],['Aniplex of America '],"['    402,378']",['Shaft '],"[""  #1922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' March Comes in like a Lion Temporada 2    '],"['ChildcareChildcare,         Strategy GameStrategy Game ']","['8.921 (scored by 199761199,761 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Sangatsu no Lion Second Season  '],['TV'],['    Saturdays at 23:00 (JST)      '],['  #567'],"['  15,065']",['  22  '],"['  Oct 14, 2017 to Mar 31, 2018  ']"
19,['  Finished Airing  '],['Spring 2008'],['  R - 17+ (violence & profanity)  '],['  24 min. per ep.  '],"['MechaMecha,         MilitaryMilitary,         Super PowerSuper Power ']",['  25  '],"['  Apr 6, 2008 to Sep 28, 2008  ']","['Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners ']",[' Code Geass: Lelouch of the Rebellion R2    '],"['ActionAction,         Award WinningAward Winning,         DramaDrama,         Sci-FiSci-Fi ']",[' Code Geass: Lelouch of the Rebellion R2      '],"['Funimation,       Bandai Entertainment ']","['    1,781,935']",['Sunrise '],"[""  #2022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]","[' Code Geass: Lelouch, el de la Rebelión R2    ']","['MechaMecha,         MilitaryMilitary,         Super PowerSuper Power ']","['8.911 (scored by 11950141,195,014 users)      1          indicates a weighted score.    ']",['  Original  '],"[' Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season  ']",['TV'],"['    Sundays at 17:00 (JST)      ', 'Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners ']",['  #47'],"['  76,840']",['  25  '],"['  Apr 6, 2008 to Sep 28, 2008  ']"
20,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  1 hr. 50 min.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai,         Time TravelTime Travel ']",['  1  '],"['  Jul 6, 2013  ']","['TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha ']",[' Gintama the Movie 2    '],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama: The Movie: The Final Chapter: Be Forever Yorozuya      '],"['    None found, add some ']","['    240,940']",['Sunrise '],"[""  #2122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai,         Time TravelTime Travel ']","['8.911 (scored by 135434135,434 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2  ']",['Movie'],[],['  #1006'],"['  2,121']",['  1  '],"['  Jul 6, 2013  ']"
21,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  1 hr. 12 min. per ep.  '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']",['  2  '],"['  Mar 4, 2023 to Nov 5, 2023  ']","['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises ']",[],"['ActionAction,         DramaDrama,         SuspenseSuspense ']",[' Attack on Titan: Final Season - The Final Chapters      '],"['    None found, add some ']","['    643,676']",['MAPPA '],"[""  #2222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']","['8.901 (scored by 371597371,597 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Shingeki no Kyojin: The Final Season Part 3, Shingeki no Kyojin Season 4, Attack on Titan Season 4  ']",['TV Special'],"['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises ']",['  #326'],"['  15,307']",['  2  '],"['  Mar 4, 2023 to Nov 5, 2023  ']"
22,['  Finished Airing  '],['Winter 2024'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],[],['  13  '],"['  Jan 7, 2024 to Mar 31, 2024  ']","['Dentsu,       TV Asahi,       Movic,       Magic Capsule,       Avex Pictures,       Akita Shoten,       BS Asahi,       TV Asahi Music ']",[],"['ComedyComedy,         RomanceRomance ']",[' The Dangers in My Heart Season 2      '],['Sentai Filmworks '],"['    171,760']",['Shin-Ei Animation '],"[""  #2422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['SchoolSchool '],"['8.881 (scored by 8474784,747 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Bokuyaba  '],['TV'],['    Sundays at 01:30 (JST)      '],['  #1372'],"['  3,826']",['  13  '],"['  Jan 7, 2024 to Mar 31, 2024  ']"
