,Status,Premiered,Rating,Duration,Demographic,Episodes,Aired,Producers,German,Genre,English,Licensors,Members,Studios,Ranked,Spanish,Theme,Score,Source,Synonyms,Type,Broadcast,Popularity,Favorites,Genres,Japanese
74,['  Finished Airing  '],['Summer 2017'],['  R - 17+ (violence & profanity)  '],['  25 min. per ep.  '],[],['  13  '],"['  Jul 7, 2017 to Sep 29, 2017  ']","['AT-X,       Takeshobo,       Sony Music Communications,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       IRMA LA DOUCE ']",[],"['AdventureAdventure,         DramaDrama,         FantasyFantasy,         MysteryMystery,         Sci-FiSci-Fi ']",[' Made in Abyss      '],['Sentai Filmworks '],"['    1,381,160']",['Kinema Citrus '],"[""  #7222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['GoreGore '],"['8.651 (scored by 749715749,715 users)      1          indicates a weighted score.    ']",['  Web manga  '],[],['TV'],['    Fridays at 21:30 (JST)      '],['  #94'],"['  44,229']",['  13  '],"['  Jul 7, 2017 to Sep 29, 2017  ']"
75,['  Finished Airing  '],['Summer 2023'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],"['Adult CastAdult Cast,         DetectiveDetective,         Organized CrimeOrganized Crime,         Super PowerSuper Power,         VampireVampire ']",['  11  '],"['  Jul 12, 2023 to Sep 20, 2023  ']","['WOWOW,       Lantis,       Movic,       Glovision,       Crunchyroll,       Sunrise Music,       Kadokawa,       Sony Music Solutions,       Bandai Namco Music Live ']",[],"['ActionAction,         MysteryMystery,         SupernaturalSupernatural ']",[' Bungo Stray Dogs 5      '],"['    None found, add some ']","['    179,696']",['Bones '],"[""  #7322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Adult CastAdult Cast,         DetectiveDetective,         Organized CrimeOrganized Crime,         Super PowerSuper Power,         VampireVampire ']","['8.651 (scored by 7844678,446 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Wednesdays at 23:00 (JST)      '],['  #1332'],"['  2,189']",['  11  '],"['  Jul 12, 2023 to Sep 20, 2023  ']"
76,['  Finished Airing  '],['Summer 2022'],['  R - 17+ (violence & profanity)  '],['  25 min. per ep.  '],[],['  12  '],"['  Jul 6, 2022 to Sep 28, 2022  ']","['AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE ']",[],"['AdventureAdventure,         DramaDrama,         FantasyFantasy,         MysteryMystery,         Sci-FiSci-Fi ']",[' Made in Abyss: The Golden City of the Scorching Sun      '],['Sentai Filmworks '],"['    443,912']",['Kinema Citrus '],"[""  #7422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['GoreGore '],"['8.641 (scored by 200968200,968 users)      1          indicates a weighted score.    ']",['  Web manga  '],[],['TV'],['    Wednesdays at 22:30 (JST)      '],['  #509'],"['  6,049']",['  12  '],"['  Jul 6, 2022 to Sep 28, 2022  ']"
77,['  Finished Airing  '],['Winter 2012'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['IyashikeiIyashikei,         MythologyMythology ']",['  13  '],"['  Jan 3, 2012 to Mar 27, 2012  ']","['TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha,       Sony Music Entertainment ']",[' Natsume Yujin-cho Staffel 4    '],"['Slice of LifeSlice of Life,         SupernaturalSupernatural ']","["" Natsume's Book of Friends Season 4      ""]","['NIS America, Inc. ']","['    245,587']","[""Brain's Base ""]","[""  #7522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Natsume Yujin-cho Temporada 4    '],"['IyashikeiIyashikei,         MythologyMythology ']","['8.641 (scored by 108973108,973 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Natsume Yuujinchou Four, Natsume Yuujinchou 4, Natsume Yujincho 4  ']",['TV'],['    Tuesdays at 01:30 (JST)      '],['  #993'],"['  2,008']",['  13  '],"['  Jan 3, 2012 to Mar 27, 2012  ']"
78,['  Finished Airing  '],['Fall 2014'],['  PG-13 - Teens 13 or older  '],['  22 min. per ep.  '],"['Love PolygonLove Polygon,         MusicMusic,         SchoolSchool ']",['  22  '],"['  Oct 10, 2014 to Mar 20, 2015  ']","['Aniplex,       Dentsu,       Kodansha,       Fuji TV,       Lawson HMV Entertainment,       Kyoraku Industrial Holdings,       Kansai Telecasting ']",[' Shigatsu Wa Kimi No Uso - Sekunden in Moll    '],"['DramaDrama,         RomanceRomance ']",[' Your Lie in April      '],['Aniplex of America '],"['    2,214,816']",['A-1 Pictures '],"[""  #7622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Your Lie in April    '],"['Love PolygonLove Polygon,         MusicMusic,         SchoolSchool ']","['8.641 (scored by 13520651,352,065 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Kimiuso  '],['TV'],['    Fridays at 01:20 (JST)      '],['  #23'],"['  86,020']",['  22  '],"['  Oct 10, 2014 to Mar 20, 2015  ']"
79,['  Finished Airing  '],['Spring 2020'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['PsychologicalPsychological,         Romantic SubtextRomantic Subtext,         SchoolSchool ']",['  12  '],"['  Apr 11, 2020 to Jun 27, 2020  ']","['Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications ']",[' Kaguya-sama: Love Is War Staffel 2    '],['ComedyComedy '],[' Kaguya-sama: Love is War Season 2      '],['Aniplex of America '],"['    1,342,731']",['A-1 Pictures '],"[""  #7722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Kaguya-sama: Love Is War? Temporada 2    '],"['PsychologicalPsychological,         Romantic SubtextRomantic Subtext,         SchoolSchool ']","['8.631 (scored by 862309862,309 users)      1          indicates a weighted score.    ']",['  Manga  '],"["" Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains 2nd Season, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 2nd Season, Kaguya-sama: Love is War 2nd Season  ""]",['TV'],"['    Saturdays at 23:30 (JST)      ', 'Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications ']",['  #97'],"['  18,800']",['  12  '],"['  Apr 11, 2020 to Jun 27, 2020  ']"
80,['  Finished Airing  '],['Spring 2007'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],[],['  27  '],"['  Apr 1, 2007 to Sep 30, 2007  ']","['TV Tokyo,       Aniplex,       Dentsu,       Konami,       Half H.P Studio,       Bandai ']",[' Gurren Lagann    '],"['ActionAction,         AdventureAdventure,         Award WinningAward Winning,         Sci-FiSci-Fi ']",[' Gurren Lagann      '],"['ADV Films,       Bandai Entertainment,       Aniplex of America ']","['    1,611,865']",['Gainax '],"[""  #7922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Gurren Lagann    '],['MechaMecha '],"['8.631 (scored by 900634900,634 users)      1          indicates a weighted score.    ']",['  Original  '],"[' Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL, Gurren Laggan  ']",['TV'],['    Sundays at 08:30 (JST)      '],['  #64'],"['  78,498']",['  27  '],"['  Apr 1, 2007 to Sep 30, 2007  ']"
81,['  Finished Airing  '],['Fall 2015'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['SchoolSchool,         Team SportsTeam Sports ']",['  25  '],"['  Oct 4, 2015 to Mar 27, 2016  ']","['Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha ']",[' Haikyu!! Staffel 2    '],['SportsSports '],[' Haikyu!! 2nd Season      '],['Sentai Filmworks '],"['    1,429,570']",['Production I.G '],"[""  #8022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Haikyu!! Los Ases del Vóley Temporada 2    '],"['SchoolSchool,         Team SportsTeam Sports ']","['8.631 (scored by 943106943,106 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Haikyuu!! Second Season  '],['TV'],"['    Sundays at 02:58 (JST)      ', 'Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha ']",['  #86'],"['  15,707']",['  25  '],"['  Oct 4, 2015 to Mar 27, 2016  ']"
82,['  Finished Airing  '],['Fall 2006'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],[],['  37  '],"['  Oct 4, 2006 to Jun 27, 2007  ']","['VAP,       Nippon Television Network,       Shueisha,       D.N. Dream Partners ']",[],"['SupernaturalSupernatural,         SuspenseSuspense ']",[' Death Note      '],['VIZ Media '],"['    3,901,692']",['Madhouse '],"[""  #8122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['PsychologicalPsychological '],"['8.621 (scored by 27455152,745,515 users)      1          indicates a weighted score.    ']",['  Manga  '],[' DN  '],['TV'],['    Wednesdays at 00:56 (JST)      '],['  #2'],"['  174,178']",['  37  '],"['  Oct 4, 2006 to Jun 27, 2007  ']"
83,['  Finished Airing  '],['Spring 2017'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],"['IyashikeiIyashikei,         MythologyMythology ']",['  11  '],"['  Apr 12, 2017 to Jun 21, 2017  ']","['TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha ']",[' Natsume Yujin-cho 6    '],"['Slice of LifeSlice of Life,         SupernaturalSupernatural ']","["" Natsume's Book of Friends Season 6      ""]","['    None found, add some ']","['    186,457']",['Shuka '],"[""  #8222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Natsume Yujin-cho 6    '],"['IyashikeiIyashikei,         MythologyMythology ']","['8.621 (scored by 6838768,387 users)      1          indicates a weighted score.    ']",['  Manga  '],"["" Natsume Yuujinchou Season 6, Natsume's Book of Friends Six  ""]",['TV'],['    Wednesdays at 01:35 (JST)      '],['  #1285'],"['  1,089']",['  11  '],"['  Apr 12, 2017 to Jun 21, 2017  ']"
84,['  Finished Airing  '],['Spring 2014'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],[],['  11  '],"['  Apr 11, 2014 to Jun 20, 2014  ']","['Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings ']",[],"['Award WinningAward Winning,         DramaDrama,         SportsSports ']",[' Ping Pong the Animation      '],['Funimation '],"['    394,446']",['Tatsunoko Production '],"[""  #7822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],[],"['8.631 (scored by 184717184,717 users)      1          indicates a weighted score.    ']",['  Manga  '],[' PPTA  '],['TV'],['    Fridays at 00:50 (JST)      '],['  #585'],"['  15,981']",['  11  '],"['  Apr 11, 2014 to Jun 20, 2014  ']"
85,['  Finished Airing  '],['Summer 2018'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']",['  12  '],"['  Jul 23, 2018 to Oct 15, 2018  ']","['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises ']",[' Attack on Titan 3. Staffel    '],"['ActionAction,         DramaDrama,         SuspenseSuspense ']",[' Attack on Titan Season 3      '],['Funimation '],"['    2,367,486']",['Wit Studio '],"[""  #8322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Ataque a los Titanes Temporada 3    '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']","['8.621 (scored by 16127051,612,705 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],"['    Mondays at 00:35 (JST)      ', 'Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises ']",['  #18'],"['  20,706']",['  12  '],"['  Jul 23, 2018 to Oct 15, 2018  ']"
86,['  Finished Airing  '],['Fall 2020'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],[],['  24  '],"['  Oct 3, 2020 to Mar 27, 2021  ']","['Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap ']",[' Jujutsu Kaisen    '],"['ActionAction,         Award WinningAward Winning,         FantasyFantasy ']",[' Jujutsu Kaisen      '],['VIZ Media '],"['    2,542,618']",['MAPPA '],"[""  #8822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Jujutsu Kaisen    '],['SchoolSchool '],"['8.601 (scored by 16675101,667,510 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Sorcery Fight, JJK  ']",['TV'],"['    Saturdays at 01:25 (JST)      ', 'Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap ']",['  #14'],"['  90,502']",['  24  '],"['  Oct 3, 2020 to Mar 27, 2021  ']"
87,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  1 hr. 45 min.  '],[],['  1  '],"['  Jan 17, 2020  ']","['AT-X,       Takeshobo,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       Sony Music Solutions,       IRMA LA DOUCE ']",[' Made in Abyss: Seelen der Finsternis    '],"['AdventureAdventure,         DramaDrama,         FantasyFantasy,         MysteryMystery,         Sci-FiSci-Fi ']",[' Made in Abyss: Dawn of the Deep Soul      '],['Sentai Filmworks '],"['    463,377']",['Kinema Citrus '],"[""  #8522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['GoreGore '],"['8.611 (scored by 256623256,623 users)      1          indicates a weighted score.    ']",['  Web manga  '],"[' Gekijouban Made in Abyss: Fukaki Tamashii no Reimei, Made in Abyss: Dawn of the Deep Soul  ']",['Movie'],[],['  #486'],"['  3,593']",['  1  '],"['  Jan 17, 2020  ']"
88,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  2 hr. 41 min.  '],[],['  1  '],"['  Feb 6, 2010  ']","['Kadokawa Shoten,       Animation Do ']",[' Das Verschwinden der Haruhi Suzumiya der Film    '],"['Award WinningAward Winning,         MysteryMystery,         Sci-FiSci-Fi,         SupernaturalSupernatural ']",[' The Disappearance of Haruhi Suzumiya      '],"['Funimation,       Bandai Entertainment ']","['    610,310']",['Kyoto Animation '],"[""  #8622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['SchoolSchool '],"['8.601 (scored by 311014311,014 users)      1          indicates a weighted score.    ']",['  Light novel  '],"[' The Vanishment of Haruhi Suzumiya, Suzumiya Haruhi no Syoshitsu, Haruhi Movie  ']",['Movie'],[],['  #355'],"['  13,574']",['  1  '],"['  Feb 6, 2010  ']"
89,['  Finished Airing  '],[],['  R+ - Mild Nudity  '],['  25 min. per ep.  '],"['GoreGore,         Organized CrimeOrganized Crime ']",['  10  '],"['  Sep 13, 2022  ']",['CD Projekt Red '],[],"['ActionAction,         Sci-FiSci-Fi ']",[],"['    None found, add some ']","['    746,455']",['Trigger '],"[""  #8722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['GoreGore,         Organized CrimeOrganized Crime ']","['8.601 (scored by 507933507,933 users)      1          indicates a weighted score.    ']",['  Game  '],[],['ONA'],[],['  #263'],"['  25,016']",['  10  '],"['  Sep 13, 2022  ']"
90,['  Finished Airing  '],['Fall 2013'],['  PG-13 - Teens 13 or older  '],['  22 min. per ep.  '],[],['  25  '],"['  Oct 6, 2013 to Mar 30, 2014  ']","['VAP,       Kodansha,       Nippon Television Network ']",[' Hajime No Ippo: The Fighting! - Rising    '],['SportsSports '],[' Fighting Spirit: Rising      '],"['    None found, add some ']","['    260,638']","['Madhouse,       MAPPA ']","[""  #8422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Hajime No Ippo: The Fighting!    '],['Combat SportsCombat Sports '],"['8.611 (scored by 143757143,757 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Fighting Spirit: Rising, Hajime no Ippo 3  ']",['TV'],['    Sundays at 01:35 (JST)      '],['  #934'],"['  1,293']",['  25  '],"['  Oct 6, 2013 to Mar 30, 2014  ']"
91,['  Finished Airing  '],['Fall 1997'],['  R+ - Mild Nudity  '],['  23 min. per ep.  '],"['GoreGore,         MilitaryMilitary ']",['  25  '],"['  Oct 8, 1997 to Apr 1, 1998  ']","['VAP,       Hakusensha,       Nippon Television Network ']",[' Berserk    '],"['ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy,         HorrorHorror ']",[' Berserk      '],['Discotek Media '],"['    660,665']",['OLM '],"[""  #8922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Berserk    '],"['GoreGore,         MilitaryMilitary ']","['8.591 (scored by 355056355,056 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Berserk: The Chronicles of Wind Blades, Sword-Wind Chronicle Berserk  ']",['TV'],['    Wednesdays at 01:45 (JST)      '],['  #314'],"['  27,814']",['  25  '],"['  Oct 8, 1997 to Apr 1, 1998  ']"
92,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  1 hr. 56 min.  '],[],['  1  '],"['  Oct 16, 2020  ']","['Aniplex,       Shueisha ']",[],"['ActionAction,         FantasyFantasy ']",[' Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train      '],['Aniplex of America '],"['    1,539,422']",['ufotable '],"[""  #9322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Guardianes De La Noche  - Kimetsu No Yaiba - Tren Infinito    '],['HistoricalHistorical '],"['8.581 (scored by 10225511,022,551 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen, Kimetsu no Yaiba: Infinity Train, Demon Slayer Movie: Infinity Train  ']",['Movie'],[],['  #71'],"['  13,181']",['  1  '],"['  Oct 16, 2020  ']"
93,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  47 min.  '],"['Adult CastAdult Cast,         HistoricalHistorical,         IyashikeiIyashikei ']",['  1  '],"['  May 16, 2015  ']","['Aniplex,       Kodansha,       Delfi Sound ']",[],"['AdventureAdventure,         MysteryMystery,         Slice of LifeSlice of Life,         SupernaturalSupernatural ']",[],"['    None found, add some ']","['    129,039']",['Artland '],"[""  #9022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Adult CastAdult Cast,         HistoricalHistorical,         IyashikeiIyashikei ']","['8.591 (scored by 5134751,347 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells  ']",['Movie'],[],['  #1736'],['  221'],['  1  '],"['  May 16, 2015  ']"
94,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  1 hr. 30 min.  '],[],['  1  '],"['  Jun 15, 2019  ']","['Aniplex,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Kadokawa ']",[' Rascal Does Not Dream of a Dreaming Girl    '],"['DramaDrama,         RomanceRomance,         SupernaturalSupernatural ']",[' Rascal Does Not Dream of a Dreaming Girl      '],['Aniplex of America '],"['    712,144']",['CloverWorks '],"[""  #9122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['SchoolSchool '],"['8.591 (scored by 451515451,515 users)      1          indicates a weighted score.    ']",['  Light novel  '],[],['Movie'],"['Aniplex,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Kadokawa ']",['  #284'],"['  10,218']",['  1  '],"['  Jun 15, 2019  ']"
95,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  2 hr. 35 min.  '],"['MechaMecha,         PsychologicalPsychological ']",['  1  '],"['  Mar 8, 2021  ']","['    None found, add some ']",[],"['ActionAction,         Award WinningAward Winning,         DramaDrama,         Sci-FiSci-Fi,         SuspenseSuspense ']",[' Evangelion: 3.0+1.0 Thrice Upon a Time      '],['GKIDS '],"['    375,148']",['Khara '],"[""  #9222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['MechaMecha,         PsychologicalPsychological ']","['8.591 (scored by 160805160,805 users)      1          indicates a weighted score.    ']",['  Original  '],"[' Evangelion: 4.0, Rebuild of Evangelion, Shin Evangelion Gekijouban:||, Rebuild of Evangelion: Final  ']",['Movie'],[],['  #626'],"['  7,445']",['  1  '],"['  Mar 8, 2021  ']"
96,['  Finished Airing  '],[],['  R+ - Mild Nudity  '],['  2 hr. 5 min.  '],"['MechaMecha,         SpaceSpace,         Super PowerSuper Power ']",['  1  '],"['  Apr 22, 2009  ']",['Aniplex '],[],"['ActionAction,         Sci-FiSci-Fi ']",[' Gurren Lagann The Movie: The Lights in the Sky are Stars      '],['Aniplex of America '],"['    217,120']",['Gainax '],"[""  #9422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Gurren Lagann Película II: Las Luces en el Cielo son Estrellas    '],"['MechaMecha,         SpaceSpace,         Super PowerSuper Power ']","['8.581 (scored by 102391102,391 users)      1          indicates a weighted score.    ']",['  Original  '],[' Tengen Toppa Gurren Lagann Movie 2  '],['Movie'],[],['  #1119'],"['  1,029']",['  1  '],"['  Apr 22, 2009  ']"
97,['  Finished Airing  '],['Fall 2018'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],[],['  39  '],"['  Oct 6, 2018 to Jul 28, 2019  ']",['Warner Bros. Japan '],"["" Jojo's Bizarre Adventure: Golden Wind    ""]","['ActionAction,         AdventureAdventure,         SupernaturalSupernatural ']","["" JoJo's Bizarre Adventure: Golden Wind      ""]",['VIZ Media '],"['    1,025,503']",['David Production '],"[""  #9622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]","["" Jojo's Bizarre Adventure: Golden Wind    ""]",['Organized CrimeOrganized Crime '],"['8.571 (scored by 686074686,074 users)      1          indicates a weighted score.    ']",['  Manga  '],"["" JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, Le Bizzarre Avventure Di GioGio Parte 5: Vento Aureo  ""]",['TV'],['    Saturdays at 01:05 (JST)      '],['  #152'],"['  31,896']",['  39  '],"['  Oct 6, 2018 to Jul 28, 2019  ']"
98,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  1 hr. 4 min.  '],[],['  1  '],"['  Aug 19, 2016  ']","['Aniplex,       Kodansha ']",[' Kizumonogatari: Heißes Blut    '],"['ActionAction,         MysteryMystery,         SupernaturalSupernatural ']",[' Kizumonogatari Part 2: Hot-Blooded      '],['Aniplex of America '],"['    445,456']",['Shaft '],"[""  #9722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['VampireVampire '],"['8.571 (scored by 269982269,982 users)      1          indicates a weighted score.    ']",['  Light novel  '],"[' Koyomi Vamp, Kizumonogatari Part 2  ']",['Movie'],[],['  #508'],"['  2,352']",['  1  '],"['  Aug 19, 2016  ']"
99,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
